,iphone_name,Rate
0,"APPLE iPhone 11 (White, 64 GB)","₹46,999"
1,"APPLE iPhone 11 (Purple, 64 GB)","₹46,999"
2,"APPLE iPhone SE (Red, 128 GB)","₹35,499"
3,"APPLE iPhone 13 (Starlight, 128 GB)","₹73,999"
4,"APPLE iPhone 11 (Black, 64 GB)","₹46,999"
5,"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹73,999"
6,"APPLE iPhone 13 (Pink, 128 GB)","₹73,999"
7,"APPLE iPhone 13 (Blue, 128 GB)","₹73,999"
8,"APPLE iPhone 13 (Midnight, 128 GB)","₹73,999"
9,"APPLE iPhone 11 (Black, 128 GB)","₹51,999"
10,"APPLE iPhone 11 (Purple, 128 GB)","₹51,999"
11,"APPLE iPhone SE (Red, 64 GB)","₹30,499"
12,"APPLE iPhone 11 (White, 128 GB)","₹51,999"
13,"APPLE iPhone 11 (Red, 128 GB)","₹51,999"
14,"APPLE iPhone 11 (Red, 64 GB)","₹46,999"
15,"APPLE iPhone 11 (Green, 128 GB)","₹51,999"
16,"APPLE iPhone 13 Mini (Pink, 128 GB)","₹64,999"
17,"APPLE iPhone 13 Mini (Midnight, 128 GB)","₹64,999"
18,"APPLE iPhone 12 (Purple, 128 GB)","₹64,999"
19,"APPLE iPhone SE (Black, 128 GB)","₹35,499"
20,"APPLE iPhone 11 (Green, 64 GB)","₹46,999"
21,"APPLE iPhone 11 (Yellow, 64 GB)","₹46,999"
22,"APPLE iPhone 12 (Green, 128 GB)","₹64,999"
23,"APPLE iPhone 12 (Black, 128 GB)","₹64,999"
